epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,417.218,0.53626,0.33111,0.84103,0.99019,0.92222,0.93766,0.81261,0.60711,0.33959,0.847,0.00165944,0.00165944,0.00165944
88,421.385,0.54678,0.33349,0.84509,0.99134,0.92089,0.93687,0.80689,0.61175,0.34248,0.84836,0.00165548,0.00165548,0.00165548
89,425.821,0.54375,0.33003,0.84364,0.98988,0.92019,0.9372,0.81039,0.61014,0.33424,0.84818,0.00165152,0.00165152,0.00165152
90,430.433,0.51477,0.3228,0.84472,0.99141,0.92033,0.94283,0.82041,0.60248,0.33983,0.84557,0.00164756,0.00164756,0.00164756
91,434.541,0.53007,0.33096,0.84342,0.99032,0.92074,0.94312,0.8116,0.62281,0.34703,0.84876,0.0016436,0.0016436,0.0016436
92,439.271,0.52222,0.32953,0.84131,0.99042,0.9191,0.93888,0.8114,0.60134,0.34009,0.8486,0.00163964,0.00163964,0.00163964
93,443.921,0.52978,0.32441,0.84012,0.98625,0.91774,0.94008,0.81525,0.61059,0.34315,0.84998,0.00163568,0.00163568,0.00163568
94,448.139,0.52912,0.32432,0.83901,0.99002,0.91746,0.94175,0.81645,0.60096,0.33482,0.84843,0.00163172,0.00163172,0.00163172
95,452.871,0.54455,0.32839,0.84848,0.98595,0.91897,0.94138,0.81165,0.62432,0.35202,0.85011,0.00162776,0.00162776,0.00162776
96,457.266,0.54557,0.32721,0.84074,0.98838,0.9191,0.94169,0.81565,0.60445,0.34197,0.84809,0.0016238,0.0016238,0.0016238
97,461.443,0.52486,0.32343,0.84386,0.99164,0.91705,0.94258,0.81851,0.61185,0.34016,0.84833,0.00161984,0.00161984,0.00161984
98,466.267,0.52123,0.31718,0.83677,0.99165,0.9191,0.94191,0.81263,0.61495,0.33493,0.84931,0.00161588,0.00161588,0.00161588
99,470.719,0.52776,0.31978,0.84,0.99144,0.91965,0.94008,0.81501,0.60293,0.33029,0.84772,0.00161192,0.00161192,0.00161192
100,475.284,0.54607,0.32257,0.84287,0.99193,0.92221,0.93852,0.81629,0.59323,0.33555,0.84513,0.00160796,0.00160796,0.00160796
101,480.282,0.55301,0.3307,0.84244,0.99361,0.9206,0.93901,0.81473,0.61057,0.34307,0.84679,0.001604,0.001604,0.001604
102,484.518,0.52812,0.32319,0.83762,0.99134,0.92171,0.9399,0.81333,0.60023,0.33684,0.8454,0.00160004,0.00160004,0.00160004
103,488.671,0.51594,0.31789,0.83658,0.99236,0.91883,0.93851,0.81653,0.59636,0.33086,0.8456,0.00159608,0.00159608,0.00159608
104,493.731,0.49931,0.30861,0.84142,0.98799,0.92063,0.94544,0.8262,0.59632,0.32988,0.84511,0.00159212,0.00159212,0.00159212
105,497.972,0.52629,0.31622,0.84136,0.98756,0.91937,0.94626,0.82488,0.60717,0.33443,0.84748,0.00158816,0.00158816,0.00158816
106,502.318,0.53625,0.32571,0.83952,0.99161,0.92033,0.94567,0.81862,0.60858,0.33763,0.84658,0.0015842,0.0015842,0.0015842
107,507.536,0.53592,0.32706,0.84161,0.99098,0.91992,0.94331,0.81951,0.61539,0.33284,0.84807,0.00158024,0.00158024,0.00158024
108,511.806,0.54039,0.32496,0.84674,0.99161,0.91855,0.94477,0.82269,0.59968,0.33012,0.8448,0.00157628,0.00157628,0.00157628
109,515.954,0.52001,0.31519,0.83821,0.99322,0.91908,0.94308,0.82126,0.59933,0.33062,0.84542,0.00157232,0.00157232,0.00157232
110,521.016,0.52509,0.32006,0.83887,0.99018,0.92129,0.94242,0.81816,0.61405,0.33475,0.84871,0.00156836,0.00156836,0.00156836
111,525.175,0.53406,0.32539,0.83946,0.9913,0.91992,0.93721,0.81179,0.60114,0.3321,0.84762,0.0015644,0.0015644,0.0015644
112,529.507,0.52796,0.31829,0.8417,0.99232,0.92005,0.9382,0.81074,0.61337,0.33891,0.84853,0.00156044,0.00156044,0.00156044
113,534.621,0.52525,0.32069,0.83545,0.99236,0.92178,0.9401,0.81821,0.59221,0.33074,0.84472,0.00155648,0.00155648,0.00155648
114,539.001,0.52689,0.31996,0.83637,0.99251,0.92256,0.93936,0.81743,0.60045,0.33104,0.84558,0.00155252,0.00155252,0.00155252
115,543.614,0.51284,0.31003,0.83698,0.99165,0.92332,0.93985,0.81543,0.59577,0.32739,0.84469,0.00154856,0.00154856,0.00154856
116,548.292,0.5067,0.31266,0.84166,0.99165,0.9235,0.94023,0.81868,0.59508,0.31804,0.84468,0.0015446,0.0015446,0.0015446
117,552.538,0.52442,0.3106,0.83639,0.9909,0.92237,0.94228,0.82083,0.59284,0.32127,0.84417,0.00154064,0.00154064,0.00154064
118,557.286,0.5221,0.31069,0.83714,0.99235,0.91995,0.94483,0.82561,0.59826,0.32422,0.84552,0.00153668,0.00153668,0.00153668
119,561.964,0.50886,0.30745,0.8331,0.99323,0.92048,0.94456,0.82358,0.60089,0.32205,0.84679,0.00153272,0.00153272,0.00153272
120,566.248,0.51967,0.3084,0.83719,0.99177,0.92104,0.94259,0.82082,0.60033,0.3277,0.84621,0.00152876,0.00152876,0.00152876
121,571.135,0.50902,0.30792,0.83685,0.99276,0.9206,0.94361,0.81615,0.63031,0.33376,0.85175,0.0015248,0.0015248,0.0015248
122,575.501,0.51745,0.3088,0.83413,0.99033,0.92198,0.94348,0.82439,0.60524,0.32174,0.84652,0.00152084,0.00152084,0.00152084
123,579.716,0.50595,0.30476,0.83725,0.99124,0.92251,0.94238,0.81823,0.60565,0.32229,0.84778,0.00151688,0.00151688,0.00151688
124,584.715,0.50878,0.30407,0.84147,0.99177,0.92142,0.93959,0.81622,0.60049,0.32225,0.8473,0.00151292,0.00151292,0.00151292
125,588.895,0.50987,0.30964,0.83496,0.99148,0.92082,0.94056,0.81346,0.60525,0.32917,0.84733,0.00150896,0.00150896,0.00150896
126,593.269,0.51385,0.30676,0.8328,0.99024,0.92319,0.93982,0.8152,0.60349,0.32696,0.84666,0.001505,0.001505,0.001505
127,598.338,0.53349,0.31177,0.83772,0.99062,0.9224,0.94246,0.81788,0.61183,0.32752,0.8488,0.00150104,0.00150104,0.00150104
128,602.588,0.51575,0.31125,0.83772,0.99222,0.92165,0.93896,0.8154,0.59812,0.32393,0.84658,0.00149708,0.00149708,0.00149708
129,606.764,0.51781,0.30947,0.83754,0.99196,0.92265,0.94426,0.81479,0.62352,0.3268,0.85078,0.00149312,0.00149312,0.00149312
130,611.833,0.52528,0.31356,0.83751,0.99164,0.92191,0.94872,0.82965,0.60557,0.32879,0.84586,0.00148916,0.00148916,0.00148916
131,616.109,0.54368,0.3174,0.84244,0.99352,0.92084,0.94884,0.82919,0.60414,0.32478,0.84707,0.0014852,0.0014852,0.0014852
132,620.379,0.5293,0.31201,0.84126,0.99236,0.92189,0.94641,0.82475,0.60398,0.32115,0.84632,0.00148124,0.00148124,0.00148124
133,625.687,0.53318,0.31606,0.84237,0.99266,0.92218,0.94068,0.81933,0.59736,0.32313,0.84519,0.00147728,0.00147728,0.00147728
134,629.771,0.50327,0.30261,0.84063,0.99138,0.92115,0.93801,0.81515,0.60118,0.32203,0.84583,0.00147332,0.00147332,0.00147332
135,633.944,0.504,0.30242,0.83565,0.99411,0.92059,0.94486,0.82253,0.59248,0.32094,0.84489,0.00146936,0.00146936,0.00146936
136,639.338,0.51414,0.30699,0.84129,0.99177,0.92113,0.94177,0.82003,0.5972,0.32348,0.84561,0.0014654,0.0014654,0.0014654
137,643.396,0.52806,0.31762,0.8383,0.99236,0.92146,0.94173,0.8201,0.58808,0.32579,0.84347,0.00146144,0.00146144,0.00146144
138,647.667,0.51447,0.30625,0.82896,0.99146,0.92142,0.94015,0.81215,0.59573,0.32781,0.84384,0.00145748,0.00145748,0.00145748
139,652.974,0.52724,0.31119,0.83969,0.99161,0.91897,0.93863,0.81517,0.6001,0.32941,0.84624,0.00145352,0.00145352,0.00145352
